Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
(Bulk 1) To - 1.jpg,https://drive.google.com/file/d/1MuMx0e6e_4k9FpQ4llzNq3dP3bYstx82/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 1.jpg,https://drive.google.com/file/d/1le5RlXSlvJHnI2W0uwxilqEvYW-886r4/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 1.jpg,https://drive.google.com/file/d/1-c1CxHc3d9SWXpddNlg15zdH1pltv0R2/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 10.jpg,https://drive.google.com/file/d/19ObU9qehpWna54ZKadvtR5-eoNaoG5y2/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 11.jpg,https://drive.google.com/file/d/1UN46ENgLVecKgXN97R3UM8Fxnkr8CB_f/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 12.jpg,https://drive.google.com/file/d/18b8evqAPOxbz7Y4x1ufdfLuUOSIMvhiv/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 13.jpg,https://drive.google.com/file/d/142-ev0BEuckp35Udv0p_LY1oWldUPiNe/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 14.jpg,https://drive.google.com/file/d/1J8hzFsbTAeeb1oQRqH1uc5hUnP1fVTsT/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 15.jpg,https://drive.google.com/file/d/1mEVwwmRGsy2dpfhqG24TstgvCCuVJcRe/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 16.jpg,https://drive.google.com/file/d/1yjLhli6BsX_k1yTW-dGqGz2ydn_Ln1yb/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 17.jpg,https://drive.google.com/file/d/10MM6DhLXhx_m3U9nDxOCE4_pKLV19W7V/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 2.jpg,https://drive.google.com/file/d/1Juc4WbJCqcKHT2uT_MTNmxg0tC_kpbXf/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 2.jpg,https://drive.google.com/file/d/1kyO0WPrW0ysTHrCZgrAlVeNfwqQyI87-/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 3.jpg,https://drive.google.com/file/d/1eaKI8mAbOtAnn_eSIfgXAudo1jqil9Ny/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 3.jpg,https://drive.google.com/file/d/1TscZNam_Rnj1zasMB3__re_1D2Hsiy0w/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 3.jpg,https://drive.google.com/file/d/1fGKiJq0Zt98DMUix6ZL2rFq7z68EXdIQ/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 4.jpg,https://drive.google.com/file/d/1JXrWW1MT7Gk0TpFhV1fsdXlTfkqyYsUA/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 4.jpg,https://drive.google.com/file/d/1DSTomxPVfnQvNoVXAnCDy8pJSoTqyDWO/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 5.jpg,https://drive.google.com/file/d/1RRKqs6vmPw9h6a8hdp_FfEZEXU8okFNh/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 5.jpg,https://drive.google.com/file/d/1Rnhn9jeISUZYIzVC2zI_g38z1fEpl0RQ/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 5.jpg,https://drive.google.com/file/d/1icdP1nveks2aMDcC1bp_ZT7mVx7vod2m/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 6.jpg,https://drive.google.com/file/d/1kzFUp-82tkaftgetBqpBP3vR2z2cHPKL/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 6.jpg,https://drive.google.com/file/d/18773-0P14cdlVVqReaoSExOqnZDHv6Uw/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 6.jpg,https://drive.google.com/file/d/15bG1mGNLsesWWTHzjSoYxnXj5oxhG6tE/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 7.jpg,https://drive.google.com/file/d/1PlCV3z1lw2pkVwmdl5sF4DYjjDKgkIbd/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 7.jpg,https://drive.google.com/file/d/1UV-sAAK7LmrsIwAGb-IbsNqRpD8QkS09/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 8.jpg,https://drive.google.com/file/d/10SV7JfA6W6pEa3dgax0FpbV-9dVEN8kp/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To - 9.jpg,https://drive.google.com/file/d/1z2itMKlMOlyKiOBXr2MABC6wi7FH5MJg/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
(Bulk 1) To.jpeg,https://drive.google.com/file/d/16ocLOibN_8HFQ3EucERp8jNjpMuYmBbT/view,0:00:10,1:00:00,1/1/18 13:30,12/31/30 23:59,yes
